Immatriculation,Sous activité,Genre
DY-591-VF,Benne TP,SREM
9225 NM 52,Inconnue,CAM
DD-536-AT,Plateaux,SREM
DD-187-AV,Plateaux,SREM
DD-367-MW,F.M.   ZC,TRR
DD-417-MW,Benne céréalière,TRR
AM-920-FP,F.M.   ZC,FM
AM-110-FQ,F.M.   ZC,SREM
AR-094-QH,TAUT dédiée,SREM
AS-826-PS,F.M.   ZC,SREM
AS-848-PS,F.M.   ZC,SREM
AM-407-NX,Benne céréalière,SREM
AV-157-FW,Benne TP,SREM
AX-990-PH,Benne TP,BEN
AV-114-YJ,Benne TP,SREM
922 AQT 57,Plateaux,SREM
BR-126-EB,TAUT dédiée,SREM
BD-260-LB,Tautl.  ZL,SREM
BC-494-TD,TAUT double poste,FOUR
CN-821-QT,Plateaux,SREM
CN-377-QT,Benne TP,PLAT
BD-237-LB,Tautl.  ZL,SREM
BB-998-RR,Benne TP,SREM
BB-059-RS,Benne ferraille,SREM
BD-315-SD,F.M.   ZC,FM
BD-423-SD,F.M.   ZL,SREM
AH-132-BZ,F.M.   ZC,FM
DD-290-FW,Service général,SREM
DG-689-DB,Service général,SREM
AN-254-GV,Tautl.  ZC,SREM
CL-331-YR,TAUT dédiée,SREM
AP-081-PR,Benne TP,BEN
AR-541-SF,F.M.   ZC,SREM
AR-113-JR,F.M.   ZL,SREM
CQ-552-NF,Benne TP,SREM
DQ-824-BM,Benne ZL,SREM
CP-110-WP,Benne TP,SREM
CP-236-WP,Benne céréalière,SREM
AX-658-JC,,BEN
AZ-859-FR,Citerne pulvé double poste,SREM
AZ-741-FR,Citerne pulvé double poste,SREM
BA-493-JN,F.M.   ZL,FM
AM-249-VH,Inconnue,TAUT
AM-981-VC,Inconnue,TAUT
AM-591-TY,Tautl.  ZL,TAUT
AM-648-VC,Inconnue,TAUT
CP-482-WP,Benne TP,BEN
CP-418-WP,Benne ZL,SREM
BM-952-MB,Benne ferraille,SREM
BM-972-MN,Benne ferraille,SREM
BM-789-MN,Benne ferraille,SREM
743 ARG 57,Citerne Pulvé,PULV
CG-945-NP,Traction double poste,SREM
CG-901-NP,Citerne PN,SREM
CN-909-GN,Inconnue,TAUT
CN-173-LL,Inconnue,TAUT
CV-036-NL,Benne ZL,SREM
6980 RP 39,,SREM
8661 RP 39,Benne TP,SREM
6620 RR 39,,SREM
6621 RR 39,,SREM
9061 RR 39,,SREM
9685 RR 39,Benne TP,SREM
BM-524-MQ,Benne TP,SREM
CB-808-XQ,Benne TP,SREM
CB-792-XQ,Benne TP,SREM
CW-896-ST,Benne TP,SREM
CW-930-ST,Benne TP,SREM
CB-776-XQ,Benne TP,SREM
CB-766-XQ,Benne TP,SREM
CC-663-SM,Benne TP,SREM
CC-292-PY,Benne TP,SREM
CC-307-PY,Benne ZL,SREM
BN-699-RW,Benne TP,SREM
BN-729-RW,Benne ZL,SREM
7037 SY 39,Benne TP,SREM
CK-978-YV,Benne ZL,SREM
BZ-672-HP,Benne ZL,SREM
CV-933-RP,Benne ZL,SREM
CQ-216-GZ,Benne ZL,SREM
BZ-741-HP,Benne ZL,SREM
CP-457-PJ,Benne ZL,SREM
CP-500-PJ,Benne ZL,SREM
BZ-710-AH,Benne TP,SREM
BZ-531-EP,Benne ZL,SREM
CH-241-NX,F.M.   ZC,SREM
CH-479-NW,F.M.   ZC,SREM
AM-645-VE,Service général,TAUT
AM-151-VB,Service général,SREM
9476 SR 39,Ampliroll,REM
AM-549-VD,Service général,SREM
BS-953-QW,Ampliroll,SREM
CC-172-DB,F.M.   ZC,FM
7365 TD 88,Plateaux,TAUT
BP-628-AW,F.M.   ZC,SREM
BP-946-AW,F.M.   ZC,SREM
CQ-670-ZV,Tautl.  ZC,SREM
CA-835-QK,Tautl.  ZC,TAUT
DG-933-CZ,Inconnue,PLSC
CA-894-QK,Inconnue,PLSC
DQ-368-LR,Affectation SA,SREM
CG-363-WS,F.M.   ZC,SREM
8703 TH 39,Benne TP,SREM
CH-405-TJ,Inconnue,SREM
215 TJ 39,Inconnue,SREM
AD-669-WD,Inconnue,SREM
AE-429-NJ,Benne TP,SREM
AR-377-WZ,,SREM
AR-410-WZ,Benne TP,SREM
AW-113-AS,,SREM
AX-074-RP,Benne TP,SREM
AX-093-RP,Benne TP,SREM
AX-118-RP,,SREM
CV-992-NK,Benne TP,SREM
CV-950-NK,Benne TP,SREM
CV-011-NL,Citerne PN,SREM
BJ-453-JS,F.M.   ZC,SREM
CL-550-WG,Benne TP,BEN
CL-146-CA,Benne TP,BEN
CH-860-ET,Tautl.  ZC,SREM
BP-973-WB,,BEN
AA-017-KA,,BEN
DA-574-KG,Tautl.  ZC,TRR
BE-334-JD,F.M.   ZL,SREM
EC-463-DE,F.M.   ZL,SREM
DA-586-KG,Tautl.  ZC,TRR
DA-592-KG,F.M.   ZC,TRR
DD-776-KH,Inconnue,TAUT
DA-601-KG,Plateaux,TRR
BY-038-NL,Tautl.  ZC,TAUT
2909 YH 51,,TAUT
BQ-026-FK,Tautl.  ZC,SREM
BQ-078-FK,Navettes,SREM
BQ-997-FJ,Tautl.  ZC,SREM
BW-489-RP,Inconnue,SREM
CB-355-WY,F.M.   ZC,SREM
CL-333-ER,Benne TP,SREM
CL-153-ER,Inconnue,SREM
AX-658-JC,Benne TP,BEN
CN-433-AY,Location externe,SREM
CN-616-AY,F.M.   ZC,SREM
BS-475-PR,Frigo double poste,SREM
DB-865-RS,F.M.   ZC,SREM
BE-300-PC,Inconnue,TAUT
BJ-681-KQ,Citerne déchets,SREM
CC-425-VN,F.M.   ZL,SREM
DL-924-YG,Benne ZL,SREM
AM-170-VA,Inconnue,TAUT
BX-267-NJ,Tautl.  ZC,SREM
BX-327-NJ,Tautl.  ZC,SREM
BX-556-EV,Ampliroll,REM
CF-575-AY,F.M.   ZC,SREM
CN-909-GN,Affectation SA,SREM
CN-829-GN,Affectation SA,TAUT
CN-173-LL,Affectation SA,TAUT
6155 WD 69,Tautl.  ZC,SAV
DA-748-KH,F.M.   ZL,TRR
BS-828-QW,Ampliroll,SREM
2075 TC 88,Inconnue,FM
755 SY 88,Inconnue,FM
2076 TC 88,Benne ferraille,FM
CC-655-CZ,F.M.   ZL,FM
CC-462-AT,Tautl.  ZC,SREM
5667 WN 76,Tautl.  ZL,CIT
DA-614-KG,F.M.   ZL,TRR
4304 WP 26,Benne céréalière,SREM
BR-078-NJ,Benne céréalière,SREM
CS-055-FF,Benne TP,SREM
AW-005-ZB,Inconnue,SREM
CD-630-CA,Inconnue,SREM
CS-345-FF,Inconnue,SREM
CN-345-AD,F.M.   ZL,SREM
CP-545-NM,Inconnue,SREM
CN-384-AD,F.M.   ZC,SREM
CD-682-CA,Inconnue,SREM
CP-349-NM,F.M.   ZC,SREM
CD-795-CA,F.M.   ZC,SREM
CD-858-CA,Location externe,SREM
CS-441-FF,F.M.   ZC,SREM
CP-821-WP,F.M.   ZC,SREM
CD-526-CA,F.M.   ZC,SREM
CD-578-CA,F.M.   ZC,SREM
AK-299-QB,F.M.   ZC,SREM
AW-397-ZB,F.M.   ZC,SREM
AW-557-ZB,F.M.   ZC,SREM
CD-299-JC,Ampliroll,SREM
DM-644-KK,Plateaux,TAUT
CF-087-AY,F.M.   ZC,SREM
DA-625-KG,F.M.   ZL,TRR
DA-699-KH,F.M.   ZL,TRR
BL-659-DD,F.M.   ZC,SREM
BL-041-DD,F.M.   ZC,SREM
BT-887-PC,Benne céréalière,SREM
BT-668-KE,Benne TP,SREM
AM-210-VV,Inconnue,TAUT
DA-707-KH,F.M.   ZC,TRR
BX-152-LS,Plateaux,PLAT
CD-004-AR,Service général,SREM
CD-497-CW,F.M.   ZL,SREM
CD-287-CW,F.M.   ZL,SREM
CC-374-RY,F.M.   ZL,SREM
CH-751-SD,Plateaux,SREM
CH-099-SH,Plateaux,SREM
CH-421-SH,Plateaux,SREM
CH-904-NW,Location externe,SREM
2135 YL 62,Benne TP,BEN
CF-276-AY,Tautl.  ZC,SREM
CA-783-QK,Inconnue,TAUT
DT-531-MH,Tautl.  ZC,TAUT
CK-417-QN,Benne TP,SREM
DL-152-HG,Service général,SREM
BV-748-FV,Location externe,SREM
CS-886-AB,Inconnue,TAUT
DW093SP,Inconnue,TAUT
CB-844-CS,Ampliroll,SREM
CB-801-CS,Ampliroll,SREM
CB-102-QB,Tautl.  ZC,TAUT
CD-499-YG,Citerne PN,SREM
CH-878-JW,Inconnue,SRTC
CH-237-JX,Tautl.  ZL,SRTC
CH-366-JX,Tautl.  ZL,SRTC
CH-654-JX,Tautl.  ZL,SRTC
CH-041-JY,Benne ferraille,SRTC
CH-284-JY,Tautl.  ZL,SRTC
CK-282-KG,Citerne déchets,SREM
146 APZ 51,Plateaux,SREM
DP-798-FQ,Plateaux,SREM
CT-337-FS,Plateaux,SREM
CT-303-FS,Plateaux,SREM
548 AKP 51,Plateaux,SREM
76 AKP 51,Plateaux,SREM
CT-253-FS,Plateaux,SREM
DP-887-PJ,Plateaux,SREM
DP-869-PJ,Plateaux,SREM
BF-941-GY,Benne ferraille,BEN
BF-647-GY,Benne ferraille,BEN
BF-002-TJ,F.M.   ZC,SREM
CJ-212-RM,Tautl.  ZC,SREM
CD-309-EJ,Citerne PN,SREM
CD-232-EG,Citerne PN,SREM
CD-527-YH,F.M.   ZC,SREM
CD-834-XN,F.M.   ZC,SREM
CG-939-WR,F.M.   ZL,SREM
4411 VD 76,Tautl.  ZL,PLAT
BX-857-ZJ,Inconnue,TAUT
BX-857-ZJ,Affectation Alsace,TAUT
CK-695-TY,Benne TP,SREM
BE-713-WV,Tautl.  ZL,SREM
DA-717-KH,F.M.   ZC,TRR
DA-739-KH,F.M.   ZC,TRR
BQ-306-SE,F.M.   ZL,SREM
CP-491-YV,F.M.   ZC,SREM
CP-439-YV,F.M.   ZC,SREM
BZ-854-PW,F.M.   ZC,SREM
BZ-215-PD,F.M.   ZC,SREM
BE-634-ZN,Inconnue,SREM
CA-349-QK,Inconnue,SREM
CD-208-AM,Tautl.  ZL,SREM
CD-547-AL,Tautl.  ZL,SREM
1055 SY 51,Plateaux,PLAT
DD-815-KH,TAUT dédiée,SREM
DC-995-VB,Benne ZL,SREM
CM-350-YL,Benne TP,BEN
CE-575-YR,,TAUT
DF-942-GS,F.M.   ZL,TRR
DF-950-GS,Fond mouvant double poste,TRR
DF-962-GS,F.M.   ZL,TRR
DF-969-GS,Tautl.  ZL,TRR
DF-978-GS,Tautl.  ZL,TRR
DF-237-WV,Benne TP,TRR
DF-404-WV,TAUT double poste,TRR
DF-529-WV,F.M.   ZC,TRR
DF-637-WV,F.M.   ZC,TRR
DF-518-WT,Citerne déchets,TRR
EA-114-GH,Citerne PB,SREM
EB-322-AJ,Plateau dédié,TRR
CF-779-DS,Ampliroll,CAM
DN-310-ES,,VP
CE-920-GQ,,VP
AC-802-RD,Porteur Grue Dédié,CAM
BV-724-TQ,Navettes,SREM
EC-848-VE,Benne ZL,SREM
EC-937-VE,Benne ZL,SREM
EC-992-VE,Benne ZL,SREM
EC-879-XP,F.M.   ZC,SREM
ED-191-RR,Ampliroll,CAM
LK8188,,VP
CK-775-AH,F.M.   ZC,TRR
CJ-708-RJ,Citerne déchets,SREM
EF-880-MR,F.M.   ZC,TRR
DJ-669-YY,Benne ferraille,SREM
DW-856-BS,Location externe,SREM
DX-458-YH,F.M.   ZC,SREM
DX-618-YH,F.M.   ZC,SREM
EF-106-MS,F.M.   ZL,TRR
EF-725-ML,F.M.   ZC,TRR
EF-766-QR,F.M.   ZC,TRR
CC-329-AV,Tautl.  ZC,SREM
CB-419-ZD,Benne TP,SREM
DZ-983-FG,,VP
NH1905,,VP
BA-910-XF,F.M.   ZC,SREM
CS-959-SB,Tautl.  ZC,TRR
CS-166-RY,Inconnue,TRR
CY-768-WB,F.M.   ZL,SREM
CY-064-XD,F.M.   ZL,SREM
CY-958-XC,F.M.   ZC,SREM
CY-163-YB,F.M.   ZC,SREM
CF-313-WC,F.M.   ZC,SREM
BC-444-LQ,F.M.   ZC,SREM
DA-778-QE,Citerne pulvé double poste,TRR
DA-785-QE,Citerne pulvé double poste,TRR
DA-484-KF,F.M.   ZL,SREM
DA-773-KF,Inconnue,SREM
DA-804-QA,F.M.   ZC,SREM
DA-234-QB,F.M.   ZC,SREM
DA-267-TX,F.M.   ZC,TRR
DA-271-TX,F.M.   ZC,TRR
DA-276-TX,F.M.   ZC,TRR
DA-278-TX,TAUT dédiée,TRR
DA-326-TX,Tautl.  ZC,TRR
DA-329-TX,Tautl.  ZL,TRR
DA-385-TX,TAUT double poste,TRR
DA-388-TX,Tautl.  ZL,TRR
DA-457-TX,F.M.   ZC,TRR
DA-458-TX,Tautl.  ZC,TRR
DC-949-HE,Plateau dédié,TRR
DE-849-SH,TAUT double poste,TRR
DH-811-KX,Benne TP,SREM
DH-685-KX,Benne TP,SREM
DN-241-JA,,VP
DT-667-NE,Ampliroll,REM
DW-257-BW,Plateau dédié,TRR
AC-643-YC,F.M.   ZC,SREM
AN-293-HT,F.M.   ZC,SREM
AT-642-EK,F.M.   ZC,SREM
BA-854-EQ,F.M.   ZC,SREM
CK-618-XG,F.M.   ZC,SREM
CP-160-TB,F.M.   ZC,SREM
CX-853-HE,F.M.   ZC,SREM
CD-203-JD,Inconnue,SREM
DY-199-TE,Porteur Grue,CAM
CC-334-NG,Tracteur Grue,SREM
AN-015-QW,Tracteur Grue,TRR
CG-988-QL,Porte container,SREM
DZ-040-WY,TAUT double poste,SREM
DY-601-QG,Encadrement,VP
EB-898-LJ,Plateaux,TRR
EB-208-LK,Plateaux,TRR
EB-394-LK,Plateaux,TRR
EB-937-LH,Benne TP,TRR
EB-147-LJ,Benne TP,TRR
EB-498-LH,Benne TP,TRR
FX1313,Inconnue,TRR
FX1314,Plateaux,TRR
FX1315,Plateaux,TRR
DF-046-VT,Tautl.  ZC,TRR
DF-389-VV,Ampliroll,CAM
CX-248-VD,F.M.   ZL,TRR
AE-144-HD,F.M.   ZL,TRR
CX-264-VD,F.M.   ZL,TRR
BK-917-LQ,F.M.   ZL,TRR
BZ-722-PF,F.M.   ZL,TRR
DA-868-BS,Inconnue,TRR
CP-678-AD,F.M.   ZL,TRR
CQ-684-CE,F.M.   ZL,TRR
CY-225-HW,F.M.   ZL,TRR
CY-228-JC,F.M.   ZL,TRR
CT-520-YJ,F.M.   ZL,TRR
CJ-493-DH,,TRR
CB-115-XV,F.M.   ZL,TRR
2329 RQ 41,Inconnue,CAM
DA-844-BS,,TRR
CJ-224-BD,F.M.   ZL,SREM
CJ-162-BD,F.M.   ZL,SREM
AC-944-CX,F.M.   ZC,SREM
CJ-114-BD,F.M.   ZL,SREM
CJ-520-DH,F.M.   ZC,SREM
BM-065-YY,F.M.   ZL,SREM
CC-984-VB,F.M.   ZL,SREM
CR-559-GP,Organisation dédiée,SREM
CP-579-CD,F.M.   ZL,SREM
CT-217-LX,F.M.   ZL,TRR
CT-230-LX,F.M.   ZL,TRR
CT-236-LX,Plateaux,TRR
CT-250-LX,TAUT dédiée,TRR
CT-256-LX,TAUT dédiée,TRR
CT-262-LX,Tautl.  ZL,TRR
FX1406,Plateaux,TRR
CQ-567-KT,F.M.   ZL,SREM
CT-850-LC,F.M.   ZL,SREM
CY-691-DM,F.M.   ZL,SREM
CX-231-CG,F.M.   ZL,SREM
DL-472-WP,F.M.   ZL,SREM
CB-082-XV,F.M.   ZL,SREM
CB-137-XV,F.M.   ZC,SREM
DQ-904-BC,,VP
DP-508-YS,Administration,VP
FX1521,F.M.   ZL,TRR
EB-337-LH,Traction,TRR
EB-811-LH,Porte container,TRR
EB-591-LJ,F.M.   ZL,TRR
BE-388-FM,Porteur Grue Dédié,CAM
CL-566-BP,,CTTE
CM-171-CF,,VP
CL-530-BP,,VP
335 RHR 75,Inconnue,SREM
302 RHR 75,Inconnue,SREM
824 RDP 75,Inconnue,SREM
BG-348-FY,,CTTE
BN-182-CG,,CTTE
CS-152-RY,Tautl.  ZC,TRR
CS-972-SB,TAUT double poste,TRR
CS-930-EA,Inconnue,TRR
CR-987-XW,F.M.   ZC,SREM
CR-028-XX,F.M.   ZC,SREM
FX8812,Porteur dédié,CAM
DL-193-SR,F.M.   ZC,TRR
DL-439-SR,Tautl.  ZL,TRR
DL-002-ST,Tautl.  ZL,TRR
DL-695-SR,Tautl.  ZL,TRR
DL-455-ST,Tautl.  ZL,TRR
DL-635-ST,Tautl.  ZL,TRR
DL-262-ST,Tautl.  ZC,TRR
DY-677-PM,F.M.   ZC,TRR
DY-689-PM,F.M.   ZC,TRR
DY-679-PM,Fond mouvant double poste,TRR
DY-691-QC,F.M.   ZC,TRR
DY-688-QC,Fond mouvant double poste,TRR
DY-685-QC,Fond mouvant double poste,TRR
DY-499-NX,Fond mouvant double poste,TRR
EA-339-BT,Fond mouvant double poste,SREM
4640 VK 88,Benne TP,SREM
FX1518,Plateau dédié,TRR
AG-780-PW,Ampliroll,REM
CR-003-QZ,Ampliroll,REM
DA-701-ES,Tautl.  ZC,TRR
DA-706-ES,Tautl.  ZL,TRR
DA-903-SM,F.M.   ZL,TRR
DA-895-SM,Organisation dédiée,TRR
DP-906-PJ,Plateau dédié,SREM
DP-950-PJ,Plateau dédié,SREM
DB-311-QF,F.M.   ZC,SREM
CG-605-LN,Ampliroll,REM
FX1520,F.M.   ZL,TRR
EA-018-SH,Citerne Pulvé,TRR
EA-976-SG,Benne ferraille,TRR
EA-885-SG,Benne ferraille,TRR
EA-805-SG,Benne ferraille,TRR
EA-658-SG,Benne TP,TRR
EA-586-SG,Benne TP,TRR
EA-499-SG,Benne TP,TRR
AR-145-SJ,F.M.   ZC,SREM
ED-835-FZ,Benne TP,TRR
ED-417-MR,Ampliroll,CAM
ED-369-MZ,,VP
FX1611,Plateaux,TRR
638 RHT 75,Porte container,SREM
CW-087-ST,Benne TP,TRR
FX1515,Plateaux,TRR
FX1516,Plateau dédié,TRR
DV-443-LZ,Inconnue,SREM
DV-878-NY,Inconnue,SREM
DV-378-QA,Inconnue,SREM
DV-640-QA,F.M.   ZC,SREM
CT-392-JM,Porteur BG Dédié,CAM
DX-060-MG,,VP
EE-002-AK,Plateau dédié,REM
EE-066-AK,Ampliroll,REM
CK-776-AH,F.M.   ZC,TRR
AX-618-DK,Organisation dédiée,CAM
EF-544-HB,F.M.   ZC,SREM
EF-168-GQ,F.M.   ZC,SREM
FX1621,,TRR
FX1622,,TRR
EG-284-BL,,CAM
EG-300-BL,,CAM
FX1410,Plateau dédié,TRR
DH-935-GG,F.M.   ZL,SREM
9816 RQ 41,Inconnue,REM
DV-777-HY,F.M.   ZL,TRR
DV-770-HY,Tautl.  ZC,TRR
DV-782-HY,F.M.   ZL,TRR
DV-802-HY,F.M.   ZC,TRR
DV-807-HY,Citerne Pulvé,TRR
DV-794-HY,Benne ZL,TRR
193 DPC 95,Porteur Grue Dédié,REM
CP-428-GB,Inconnue,TRR
BW-835-HM,Inconnue,TRR
BW-149-HN,Inconnue,TRR
BX-269-EL,Inconnue,TRR
BZ-140-NM,Inconnue,TRR
BZ-099-NM,Inconnue,TRR
CA-129-ZT,Inconnue,TRR
CA-353-QH,Inconnue,TRR
CM-878-RH,F.M.   ZC,TRR
800 ETY 95,Inconnue,TRR
802 ETY 95,Inconnue,TRR
798 ETY 95,Inconnue,TRR
DY-673-PM,Benne TP,TRR
DY-492-NX,Benne TP,TRR
DY-475-NX,Benne TP,TRR
DY-468-NX,Benne TP,TRR
8537 ZF 45,Porteur Grue Dédié,CAM
FX1513,Plateaux,TRR
FX1514,Plateaux,TRR
DV-024-KS,F.M.   ZC,TRR
DZ-930-AZ,Fond mouvant double poste,SREM
DZ-028-BA,Fond mouvant double poste,SREM
DZ-131-BA,Fond mouvant double poste,SREM
AK-648-HX,Porteur dédié,CAM
BK-342-QG,Porteur Grue,CAM
DY-484-NX,Benne TP,TRR
DY-514-NX,Benne TP,TRR
AR-614-LD,Administration,CTTE
795 VT 88,Organisation dédiée,SREM
EA-383-RT,F.M.   ZC,SREM
9259 VG 88,,VP
EA-466-ZN,Citerne PB,TRR
EA-362-ZQ,Citerne PB,TRR
BN-488-SF,TAUT dédiée,SREM
EE-673-RK,Porteur Grue Dédié,REM
EF-980-EL,Ampliroll,CAM
EF-006-EM,Inconnue,CAM
FX1620,Plateaux,TRR
FX1623,,TRR
454 ERB 95,Service général,CTTE
EF-264-MS,Traction double poste,TRR
CT-372-QW,Inconnue,TRR
CT-980-QV,F.M.   ZC,TRR
CT-148-QV,F.M.   ZL,TRR
CT-572-QT,Benne TP,TRR
CT-016-QS,Benne TP,TRR
CT-130-QT,Inconnue,TRR
CT-389-QX,Benne ZL,TRR
CW-691-JE,F.M.   ZL,SREM
CW-916-HL,F.M.   ZL,SREM
CY-417-CK,F.M.   ZC,TRR
CY-422-CK,F.M.   ZC,TRR
CY-429-CK,F.M.   ZL,TRR
CY-432-CK,F.M.   ZL,TRR
CY-437-CK,F.M.   ZL,TRR
CY-441-CK,F.M.   ZL,TRR
CY-447-CK,F.M.   ZL,TRR
CY-459-CK,F.M.   ZC,TRR
DK-077-QP,F.M.   ZC,TRR
DK-830-QN,F.M.   ZC,TRR
DK-269-QP,F.M.   ZC,TRR
DX-296-SB,F.M.   ZC,SREM
CS-146-RY,Plateaux,TRR
CS-019-SA,Plateaux,TRR
CS-127-RY,Inconnue,TRR
CS-967-RZ,Inconnue,TRR
CS-989-RZ,Plateaux,TRR
CY-624-NG,Plateaux,TRR
CZ-995-PD,F.M.   ZL,TRR
DA-084-ED,Inconnue,SREM
DB-414-TV,F.M.   ZC,TRR
DB-419-TV,F.M.   ZC,TRR
DB-412-TV,Plateau dédié,TRR
TMP-007,Inconnue,TRR
DK-448-LP,,VP
DY-068-KQ,F.M.   ZC,TRR
DY-071-KQ,F.M.   ZC,TRR
DY-062-KQ,F.M.   ZC,TRR
BM-267-LG,Plateau dédié,CAM
22 ERX 95,Porteur Grue Dédié,CAM
DZ-744-BR,Plateau dédié,TRR
329 ERY 95,Porteur Grue Dédié,CAM
DZ-117-HW,F.M.   ZC,SREM
DZ-178-HW,F.M.   ZC,SREM
CX-681-BV,F.M.   ZC,TRR
BN-739-DK,F.M.   ZC,SREM
CP-985-EY,F.M.   ZC,SREM
BX-592-LR,F.M.   ZC,SREM
AP-160-JA,F.M.   ZC,SREM
CH-837-KA,F.M.   ZC,SREM
CH-393-KB,F.M.   ZC,SREM
DE-803-NA,F.M.   ZC,SREM
DN-925-BP,F.M.   ZC,TRR
DN-297-BQ,F.M.   ZC,TRR
DQ-742-VN,Benne ZL,TRR
DS-046-AP,F.M.   ZC,TRR
DX-433-QW,Plateaux,TRR
CQ-841-ZW,F.M.   ZC,TRR
FX5405,Pré-chargement,TRR
EA-616-ZR,Citerne PB,TRR
EA-172-ZR,Citerne déchets,TRR
EB-105-JT,Benne ZL,TRR
EB-587-JT,Benne ZL,TRR
BJ-684-TD,Ampliroll,SREM
EB-006-NF,F.M.   ZC,SREM
EB-116-NF,Fond mouvant double poste,SREM
BP-751-ZC,,CTTE
DG-404-VS,,VP
DK-924-VS,,VP
DM-824-AY,Administration,VP
DN-051-EA,Administration,VP
BK-361-YL,,CTTE
CS-908-FE,F.M.   ZC,SREM
CS-852-FE,F.M.   ZC,SREM
CS-780-FE,F.M.   ZC,SREM
CR-355-YM,F.M.   ZC,SREM
CR-416-YM,F.M.   ZC,SREM
CN-430-QT,Plateaux,PLAT
CH-862-TJ,Citerne Pulvé,SREM
FX1413,F.M.   ZL,TRR
FX1420,Plateau dédié,TRR
FX1421,Plateau dédié,TRR
BE-148-BF,Benne céréalière,SREM
DN-768-XF,F.M.   ZC,SREM
DN-691-XF,F.M.   ZC,SREM
DN-792-XF,F.M.   ZC,SREM
63 BRD 13,F.M.   ZC,SREM
DP-656-JP,F.M.   ZC,SREM
DN-802-XF,F.M.   ZC,SREM
DN-813-XF,F.M.   ZC,SREM
CM-183-CF,,VP
CL-513-BP,,VP
CM-125-CF,,CTTE
3629 VS 88,,
EC-427-MG,F.M.   ZC,TRR
EC-741-ME,F.M.   ZC,TRR
EC-041-MF,F.M.   ZC,TRR
EC-096-MH,F.M.   ZC,TRR
EC-909-MG,F.M.   ZC,TRR
EC-577-MF,F.M.   ZL,TRR
EC-002-VX,F.M.   ZC,SREM
DF-017-WV,F.M.   ZC,TRR
DF-717-WV,Benne TP,TRR
DF-787-WV,Plateau dédié,TRR
DJ-367-ZG,Tautl.  ZL,TRR
DJ-069-ZG,Tautl.  ZL,TRR
DJ-822-ZF,Tautl.  ZL,TRR
DJ-466-ZF,F.M.   ZL,TRR
DJ-210-ZF,F.M.   ZL,TRR
DJ-652-XB,Plateaux,SREM
DJ-414-XB,Plateaux,SREM
DJ-845-XA,Plateaux,SREM
DJ-338-XA,Plateaux,SREM
DJ-981-WZ,Plateaux,SREM
DJ-543-WZ,Plateaux,SREM
DK-386-GG,Plateaux,TRR
DK-065-GG,Tautl.  ZL,TRR
DK-425-GF,Tautl.  ZL,TRR
DK-075-GB,Frigo,TRR
DK-991-GE,Organisation dédiée,TRR
DK-832-GA,Organisation dédiée,TRR
DK-607-GE,Organisation dédiée,TRR
DK-402-GE,Organisation dédiée,TRR
DK-689-GG,Plateau dédié,TRR
DF-850-CM,F.M.   ZC,SREM
DF-331-DM,F.M.   ZC,SREM
DK-149-GH,F.M.   ZC,TRR
DK-057-QH,Inconnue,SREM
DK-439-QG,Inconnue,SREM
DK-129-QH,Inconnue,SREM
DK-784-QG,Tautl.  ZC,SREM
DL-059-MG,Ampliroll,CAM
DN-408-HV,TAUT double poste,TRR
BA-770-TV,Organisation dédiée,CAM
EA-522-CR,Fond mouvant double poste,SREM
AK-103-PL,Benne TP,SREM
EC-557-KG,Fond mouvant double poste,SREM
EC-666-KG,Fond mouvant double poste,SREM
EC-314-JH,F.M.   ZC,SREM
EC-203-RM,Ampliroll,CAM
EC-223-RM,Ampliroll,CAM
815 AGS 51,,VP
EC-149-MT,Porteur Grue Dédié,CAM
EC-038-NX,Ampliroll,REM
EC-956-NW,Camion remorque,REM
CB-703-FP,Citerne déchets,TRR
866 RML 75,Inconnue,SREM
ED-489-GD,F.M.   ZC,SREM
ED-065-GE,F.M.   ZC,SREM
ED-483-GE,F.M.   ZC,SREM
CB-267-DH,Porteur Grue Dédié,CAM
BK-169-RQ,Ampliroll,CAM
EA-200-RG,Frigo double poste,CAM
FX1610,Plateaux,TRR
ED-389-ML,TAUT double poste,TRR
ED-137-HS,Porteur Grue Dédié,CAM
ED-274-HX,,VP
ED-014-DY,,VP
355 RHR 75,Porte container,SREM
CJ-350-EW,,CTTE
FX1617,Plateaux,TRR
EE-380-HJ,F.M.   ZC,TRR
EE-621-HJ,F.M.   ZC,TRR
EE-998-HJ,F.M.   ZC,TRR
EE-732-HK,F.M.   ZC,TRR
EE-133-HL,F.M.   ZC,TRR
EE-440-HL,Plateau dédié,TRR
EE-745-HK,F.M.   ZL,TRR
EE-902-HK,Tautl.  ZL,TRR
EE-150-HL,Tautl.  ZL,TRR
FX1616,Plateau dédié,TRR
EF-900-BD,F.M.   ZC,TRR
EF-998-BD,Benne céréalière,TRR
CR-562-DS,Organisation dédiée,SREM
CR-208-DR,Organisation dédiée,SREM
CR-014-DR,Organisation dédiée,SREM
CR-787-DQ,Organisation dédiée,SREM
CR-606-DQ,Organisation dédiée,SREM
CR-722-DS,Organisation dédiée,SREM
DB-261-WP,Tautl.  ZC,TRR
FX1401,Plateaux,TRR
REMRQ CLIENT,Inconnue,SSREM
AF-921-BY,Plateaux,SREM
DK-923-GG,F.M.   ZC,TRR
DL-449-NQ,Plateaux,SREM
DM-468-BS,F.M.   ZC,SREM
DN-339-MB,F.M.   ZC,TRR
DN-197-EM,F.M.   ZL,SREM
