Immatriculation,Sous activité,Genre
8463 RY 88,Benne ferraille,BEN
BG-699-BT,Inconnue,TAUT
CQ-789-RM,TAUT dédiée,PLSC
BW-523-CX,F.M.   ZC,SREM
BW-284-CZ,F.M.   ZC,SREM
DK-899-CJ,Plateaux,TAUT
5521 TZ 88,Service général,SREM
DA-261-TV,F.M.   ZC,SREM
DJ-480-YD,Plateaux,SREM
5888 SL 88,Service général,TAUT
5736 SL 88,Navettes,SREM
FX1501,Plateaux,TRR
824 ZE 44,,BEN
1692 VS 88,Benne TP,BEN
DP-856-PJ,Plateaux,SREM
DC-551-VX,Tautl.  ZC,SREM
CZ-432-BG,Benne TP,SREM
CP-379-YV,Location externe,SREM
CP-153-YV,Inconnue,SREM
DC-424-VC,Plateau dédié,SREM
CD-530-YG,Navettes,TAUT
CL-597-XY,Benne TP,BEN
BQ-053-FK,Tautl.  ZL,SREM
CL-107-EY,F.M.   ZC,SREM
BP-942-PV,Benne TP,SREM
BL-502-ML,,TAUT
BM-014-XA,Plateaux,SREM
CK-019-RM,Plateaux,PLAT
CK-009-SW,Plateaux,SREM
AC-158-FR,Frigo double poste,SREM
BK-994-GY,Benne ZL,SREM
BJ-837-KH,Benne ZL,SREM
BF-359-SX,Citerne pulvé double poste,SREM
5011 RM 39,,REM
BX-996-ZK,Affectation Alsace,TAUT
CV-016-QQ,Organisation dédiée,TAUT
BM-259-VM,Citerne PN,SREM
BM-729-VJ,Citerne PN,SREM
BM-755-VE,Citerne PN,SREM
BE-067-XS,TAUT dédiée,CIT
BE-898-XS,TAUT dédiée,CIT
CC-489-AT,Tautl.  ZC,SREM
CC-529-AT,TAUT dédiée,SREM
CC-439-AT,TAUT dédiée,SREM
DP-594-PZ,Tautl.  ZC,TRR
BW-709-CY,Navettes,SREM
DP-598-PZ,Tautl.  ZC,TRR
BL-502-ML,Formation,TAUT
BL-502-ML,,TAUT
BS-921-BE,Benne TP,SREM
CM-608-HE,Benne TP,SREM
CL-917-KS,Benne TP,SREM
CY-072-YQ,Porte container,SREM
DC-468-BL,Porte container,SREM
CG-529-DY,Benne TP,SREM
8504 ML 70,F.M.   ZC,SREM
FX1505,Plateau dédié,TRR
CG-831-GB,Benne TP,SREM
CQ-701-ZX,Plateau dédié,TRR
DW371PK,,CTTE
CW-618-ZD,Service général,CTTE
BR-132-VL,F.M.   ZC,SREM-SRTC
DR-895-SD,TAUT double poste,TRR
DR-568-XF,Ampliroll,CAM
FX1504,Plateau dédié,TRR
DS-957-XP,Citerne PB,SREM
DS-160-XT,Citerne PB,SREM
DT-961-SN,F.M.   ZC,SREM
CY-647-DH,Inconnue,TRR
CY-666-DH,Tautl.  ZC,TRR
CY-658-DH,TAUT dédiée,TRR
CY-660-DH,Tautl.  ZC,TRR
CY-653-DH,Tautl.  ZC,TRR
CY-641-DH,Inconnue,TRR
AD-658-ND,F.M.   ZC,TRR
BT-588-FZ,Inconnue,TRR
